food_id,food_name,category,cuisine,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,saturated_fat_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,zinc_mg,vitamin_a_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_b12_mcg,cholesterol_mg,water_g,glycemic_index,meal_type,diet_tags,allergens,is_vegan,is_vegetarian,is_halal
CX000001,Fresh Whole Apple (100G),Fruits,Global,100,59.0,0.5,13.8,0.2,2.6,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.0,0.0,0.0,0.0,86.7,38.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000002,Fresh Whole Apple (150G),Fruits,Global,150,88.5,0.8,20.7,0.3,3.9,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.0,0.0,0.0,0.0,130.1,57.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000003,Fresh Whole Apple (200G),Fruits,Global,200,118.0,1.0,27.6,0.4,5.2,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.0,0.0,0.0,0.0,173.4,76.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000004,Fresh Whole Apple (250G),Fruits,Global,250,147.5,1.2,34.5,0.5,6.5,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.0,0.0,0.0,0.0,216.8,95.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000005,Fresh Wedges Apple (100G),Fruits,Global,100,59.0,0.5,13.8,0.2,2.4,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.0,0.0,0.0,0.0,85.0,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000006,Fresh Wedges Apple (150G),Fruits,Global,150,88.5,0.8,20.7,0.3,3.6,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.0,0.0,0.0,0.0,127.4,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000007,Fresh Wedges Apple (200G),Fruits,Global,200,118.0,1.0,27.6,0.4,4.8,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.0,0.0,0.0,0.0,169.9,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000008,Fresh Wedges Apple (250G),Fruits,Global,250,147.5,1.2,34.5,0.5,6.0,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.0,0.0,0.0,0.0,212.4,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000017,Fresh Puree Apple (100G),Fruits,Global,100,59.0,0.5,13.8,0.2,1.7,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.0,0.0,0.0,0.0,86.7,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000018,Fresh Puree Apple (150G),Fruits,Global,150,88.5,0.8,20.7,0.3,2.6,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.0,0.0,0.0,0.0,130.1,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000019,Fresh Puree Apple (200G),Fruits,Global,200,118.0,1.0,27.6,0.4,3.5,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.0,0.0,0.0,0.0,173.4,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000020,Fresh Puree Apple (250G),Fruits,Global,250,147.5,1.2,34.5,0.5,4.3,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.0,0.0,0.0,0.0,216.8,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000021,Fresh Compote Apple (100G),Fruits,Global,100,61.8,0.5,14.5,0.2,2.4,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.0,0.0,0.0,0.0,86.7,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000022,Fresh Compote Apple (150G),Fruits,Global,150,92.6,0.8,21.7,0.3,3.6,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.0,0.0,0.0,0.0,130.1,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000023,Fresh Compote Apple (200G),Fruits,Global,200,123.5,1.0,29.0,0.4,4.8,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.0,0.0,0.0,0.0,173.4,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
